message_id,action,message_type,reason,confidence,evidence_message_ids
msg_023,notify,payment,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0243;message_0102;message_0101
msg_091,digest,urgent,Fatigue: User is suffering notification fatigue.,0.7,message_0238;message_0320;message_0381
msg_090,notify,greeting,Default notify,0.5,message_0339;message_0338
msg_048,notify,urgent,"Urgency: Detected time-sensitive keywords (['immediately', 'tomorrow', 'tonight']).",0.9,message_0151;message_0271;message_0030
msg_040,mute,forward,Preference: Group explicitly muted.,0.9,message_0136;message_0158;message_0104
msg_075,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0206;message_0294;message_0205
msg_005,digest,urgent,Group messages default to digest.,0.6,message_0065;message_0382;message_0049
msg_104,digest,greeting,Fatigue: User is suffering notification fatigue.,0.7,message_0224;message_0383;message_0232
msg_069,mute,forward,Preference: Group explicitly muted.,0.9,message_0177;message_0193;message_0080
msg_107,notify,payment,Default notify,0.5,message_0263;message_0221;message_0369
msg_070,digest,payment,Group messages default to digest.,0.6,message_0369;message_0221;message_0213
msg_003,notify,urgent,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0400;message_0031;message_0061
msg_099,notify,urgent,"Urgency: Detected time-sensitive keywords (['tomorrow', 'tonight']).",0.9,message_0227;message_0006;message_0055
msg_008,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0296;message_0072;message_0071
msg_092,notify,payment,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0346;message_0345;message_0384
msg_060,digest,promotion,Group messages default to digest.,0.6,message_0284;message_0176;message_0375
msg_004,notify,business_update,"Trust: Highly trusted business (['Verified business account', 'Established business (>1 year)']).",0.75,message_0246;message_0245;message_0005
msg_030,mute,forward,Preference: Group explicitly muted.,0.9,message_0115;message_0335;message_0050
msg_045,digest,greeting,Group messages default to digest.,0.6,message_0266;message_0061;message_0027
msg_052,mute,scam,"Risk: High risk detected (['domain_mismatch', 'high_user_reports']).",0.95,message_0207;message_0208;message_0159
msg_009,mute,urgent,Preference: Group explicitly muted.,0.9,message_0074;message_0073;message_0186
msg_071,digest,greeting,Group messages default to digest.,0.6,none
msg_016,digest,forward,Group messages default to digest.,0.6,message_0024;message_0147;message_0148
